;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Receita total prevista do Fundeb 2026 - Portaria Interministerial nº 14, de 29 de Dezembro de 2025;;;;;;;;;;;;
;;;;;;;;;;;;
UF;"Código
IBGE";Entidade;Receita da contribuição de estados e municípios ao Fundeb;Complementação VAAF;Complementação VAAT;Complementação VAAR;Complementação da União Total;Total das receitas previstas;;;;
AL;2700706;BATALHA; 23.317.383,01 ; 5.254.401,17 ; 1.635.394,71 ; -   ; 6.889.795,88 ; 30.207.178,89 ;;;;
AL;2700805;BELEM; 12.313.133,53 ; 2.774.674,30 ; 6.006.231,10 ; 569.449,87 ; 9.350.355,27 ; 21.663.488,80 ;;;;
AL;2700904;BELO MONTE; 15.525.200,61 ; 3.498.490,04 ; 11.805.552,03 ; 1.449.710,32 ; 16.753.752,39 ; 32.278.953,00 ;;;;
AL;2701001;BOCA DA MATA; 35.949.839,78 ; 8.101.032,62 ; 18.795.809,30 ; 3.518.537,76 ; 30.415.379,68 ; 66.365.219,46 ;;;;
AL;2701100;BRANQUINHA; 22.641.450,87 ; 5.102.084,83 ; 10.697.284,97 ; 2.541.361,87 ; 18.340.731,67 ; 40.982.182,54 ;;;;
AL;2701209;CACIMBINHAS; 16.909.437,93 ; 3.810.417,77 ; 1.136.361,14 ; 1.740.473,13 ; 6.687.252,04 ; 23.596.689,97 ;;;;
AL;2701308;CAJUEIRO; 29.870.137,03 ; 6.731.016,21 ; 19.318.409,26 ; 2.672.484,29 ; 28.721.909,76 ; 58.592.046,79 ;;;;
AL;2701357;CAMPESTRE; 11.720.610,86 ; 2.641.153,66 ; 6.195.983,33 ; 580.929,09 ; 9.418.066,08 ; 21.138.676,94 ;;;;
AL;2701407;CAMPO ALEGRE; 91.391.524,94 ; 20.594.409,58 ; 81.292.338,09 ; -   ; 101.886.747,67 ; 193.278.272,61 ;;;;
AL;2701506;CAMPO GRANDE; 16.808.027,42 ; 3.787.565,65 ; 5.567.188,90 ; 1.092.706,54 ; 10.447.461,09 ; 27.255.488,51 ;;;;
AL;2701605;CANAPI; 40.145.643,78 ; 9.046.526,27 ; 20.460.329,93 ; 4.131.323,65 ; 33.638.179,85 ; 73.783.823,63 ;;;;
