;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Receita total prevista do Fundeb 2026 - Portaria Interministerial nº 14, de 29 de Dezembro de 2025;;;;;;;;;;;;
;;;;;;;;;;;;
UF;"Código
IBGE";Entidade;Receita da contribuição de estados e municípios ao Fundeb;Complementação VAAF;Complementação VAAT;Complementação VAAR;Complementação da União Total;Total das receitas previstas;;;;
PB;2503308;CACHOEIRA DOS INDIOS; 12.501.559,93 ; 793.806,01 ; 6.196.832,08 ; -   ; 6.990.638,09 ; 19.492.198,02 ;;;;
PB;2503407;CACIMBA DE AREIA; 4.054.637,35 ; 257.455,51 ; 830.053,21 ; 195.652,11 ; 1.283.160,83 ; 5.337.798,18 ;;;;
PB;2503506;CACIMBA DE DENTRO; 17.901.504,42 ; 1.136.683,90 ; 7.867.037,34 ; 1.597.896,02 ; 10.601.617,26 ; 28.503.121,68 ;;;;
PB;2503555;CACIMBAS; 15.280.483,13 ; 970.258,07 ; 7.670.406,44 ; 1.141.256,61 ; 9.781.921,12 ; 25.062.404,25 ;;;;
PB;2503605;CAICARA; 9.330.289,10 ; 592.441,23 ; 3.309.756,13 ; 765.406,07 ; 4.667.603,43 ; 13.997.892,53 ;;;;
PB;2503704;CAJAZEIRAS; 70.090.621,80 ; 4.450.513,16 ; 31.224.920,38 ; -   ; 35.675.433,54 ; 105.766.055,34 ;;;;
PB;2503753;CAJAZEIRINHAS; 3.943.008,38 ; 250.367,46 ; 36.533,76 ; -   ; 286.901,22 ; 4.229.909,60 ;;;;
PB;2503803;CALDAS BRANDAO; 8.208.919,74 ; 521.238,14 ; 362.836,12 ; 752.664,12 ; 1.636.738,38 ; 9.845.658,12 ;;;;
PB;2503902;CAMALAU; 8.492.238,67 ; 539.227,92 ; 3.053.199,30 ; 432.110,88 ; 4.024.538,10 ; 12.516.776,77 ;;;;
PB;2504009;CAMPINA GRANDE; 277.505.325,70 ; 17.620.632,72 ; 59.896.395,50 ; -   ; 77.517.028,22 ; 355.022.353,92 ;;;;
PB;2504033;CAPIM; 10.119.710,13 ; 642.566,75 ; 3.640.782,73 ; 866.163,84 ; 5.149.513,32 ; 15.269.223,45 ;;;;
PB;2504074;CARAUBAS; 5.317.801,30 ; 337.662,07 ; -   ; 461.153,07 ; 798.815,14 ; 6.116.616,44 ;;;;
PB;2504108;CARRAPATEIRA; 5.013.087,56 ; 318.313,80 ; 129.316,00 ; 513.078,67 ; 960.708,47 ; 5.973.796,03 ;;;;
PB;2504157;CASSERENGUE; 9.049.145,46 ; 574.589,58 ; 2.381.935,79 ; 849.189,12 ; 3.805.714,49 ; 12.854.859,95 ;;;;
PB;2504207;CATINGUEIRA; 5.878.066,70 ; 373.237,00 ; 688.028,89 ; 557.880,53 ; 1.619.146,42 ; 7.497.213,12 ;;;;
PB;2504306;CATOLE DO ROCHA; 26.701.796,80 ; 1.695.472,16 ; 7.054.615,99 ; 2.422.492,19 ; 11.172.580,34 ; 37.874.377,14 ;;;;
PB;2504355;CATURITE; 8.891.536,81 ; 564.581,97 ; 3.969.119,68 ; -   ; 4.533.701,65 ; 13.425.238,46 ;;;;
PB;2504405;CONCEICAO; 21.391.482,69 ; 1.358.285,50 ; 8.038.071,69 ; 894.625,35 ; 10.290.982,54 ; 31.682.465,23 ;;;;
PB;2504504;CONDADO; 6.241.201,96 ; 396.294,84 ; 402.816,85 ; -   ; 799.111,69 ; 7.040.313,65 ;;;;
PB;2504603;CONDE; 47.042.391,48 ; 2.987.029,89 ; 10.456.410,59 ; 4.331.379,53 ; 17.774.820,01 ; 64.817.211,49 ;;;;
PB;2504702;CONGO; 7.488.416,44 ; 475.488,66 ; 1.792.035,94 ; 666.790,74 ; 2.934.315,34 ; 10.422.731,78 ;;;;
PB;2504801;COREMAS; 14.618.539,40 ; 928.226,92 ; 5.498.158,47 ; 553.572,35 ; 6.979.957,74 ; 21.598.497,14 ;;;;
PB;2504850;COXIXOLA; 2.289.107,45 ; 145.350,44 ; -   ; -   ; 145.350,44 ; 2.434.457,89 ;;;;
PB;2504900;CRUZ DO ESPIRITO SANTO; 23.021.247,66 ; 1.461.769,96 ; 6.886.474,34 ; -   ; 8.348.244,30 ; 31.369.491,96 ;;;;
PB;2505006;CUBATI; 14.200.867,26 ; 901.706,18 ; 5.998.877,78 ; 1.261.125,73 ; 8.161.709,69 ; 22.362.576,95 ;;;;
PB;2505105;CUITE; 21.631.611,68 ; 1.373.532,86 ; 10.764.402,01 ; 2.023.209,38 ; 14.161.144,25 ; 35.792.755,93 ;;;;
PB;2505238;CUITE DE MAMANGUAPE; 11.722.297,40 ; 744.325,52 ; 2.684.528,01 ; -   ; 3.428.853,53 ; 15.151.150,93 ;;;;
PB;2505204;CUITEGI; 9.442.048,41 ; 599.537,56 ; 2.983.157,36 ; 815.373,44 ; 4.398.068,36 ; 13.840.116,77 ;;;;
PB;2505279;CURRAL DE CIMA; 10.930.531,93 ; 694.051,14 ; 4.411.683,69 ; 783.596,72 ; 5.889.331,55 ; 16.819.863,48 ;;;;
PB;2505303;CURRAL VELHO; 3.931.218,15 ; 249.618,82 ; 824.778,13 ; 325.208,55 ; 1.399.605,50 ; 5.330.823,65 ;;;;
PB;2505352;DAMIAO; 7.585.880,86 ; 481.677,32 ; 2.272.923,89 ; 714.700,60 ; 3.469.301,81 ; 11.055.182,67 ;;;;
PB;2505402;DESTERRO; 8.303.605,95 ; 527.250,39 ; 2.363.556,75 ; 765.513,37 ; 3.656.320,51 ; 11.959.926,46 ;;;;
PB;2505600;DIAMANTE; 6.491.122,81 ; 412.163,95 ; 3.692.814,71 ; 500.584,03 ; 4.605.562,69 ; 11.096.685,50 ;;;;
PB;2505709;DONA INES; 14.802.505,83 ; 939.908,15 ; 4.847.259,46 ; -   ; 5.787.167,61 ; 20.589.673,44 ;;;;
PB;2505808;DUAS ESTRADAS; 5.024.869,99 ; 319.061,94 ; 171.354,26 ; 415.909,94 ; 906.326,14 ; 5.931.196,13 ;;;;
PB;2505907;EMAS; 4.362.144,10 ; 276.981,13 ; 483.048,88 ; -   ; 760.030,01 ; 5.122.174,11 ;;;;
PB;2506004;ESPERANCA; 47.899.084,00 ; 3.041.426,92 ; 20.025.908,22 ; -   ; 23.067.335,14 ; 70.966.419,14 ;;;;
PB;2506103;FAGUNDES; 11.506.841,68 ; 730.644,83 ; 1.906.522,83 ; -   ; 2.637.167,66 ; 14.144.009,34 ;;;;
PB;2506202;FREI MARTINHO; 3.179.646,88 ; 201.896,63 ; 334.717,72 ; -   ; 536.614,35 ; 3.716.261,23 ;;;;
PB;2506251;GADO BRAVO; 19.065.392,15 ; 1.210.586,76 ; 11.614.932,09 ; 1.337.521,62 ; 14.163.040,47 ; 33.228.432,62 ;;;;
PB;2506301;GUARABIRA; 47.595.364,82 ; 3.022.141,79 ; 17.858.108,47 ; 4.318.727,80 ; 25.198.978,06 ; 72.794.342,88 ;;;;
PB;2506400;GURINHEM; 26.015.408,77 ; 1.651.888,88 ; 14.503.838,56 ; 2.037.457,17 ; 18.193.184,61 ; 44.208.593,38 ;;;;
PB;2506509;GURJAO; 5.027.960,10 ; 319.258,15 ; 1.268.834,19 ; 460.681,30 ; 2.048.773,64 ; 7.076.733,74 ;;;;
PB;2506608;IBIARA; 5.788.322,76 ; 367.538,57 ; 2.183.658,91 ; 263.732,43 ; 2.814.929,91 ; 8.603.252,67 ;;;;
PB;2502607;IGARACY; 6.280.893,48 ; 398.815,11 ; 1.658.592,13 ; 549.473,95 ; 2.606.881,19 ; 8.887.774,67 ;;;;
PB;2506707;IMACULADA; 11.558.237,18 ; 733.908,27 ; 2.249.343,97 ; 463.202,69 ; 3.446.454,93 ; 15.004.692,11 ;;;;
PB;2506806;INGA; 24.817.024,64 ; 1.575.795,62 ; 9.843.699,15 ; 852.683,56 ; 12.272.178,33 ; 37.089.202,97 ;;;;
PB;2506905;ITABAIANA; 18.339.692,43 ; 1.164.507,33 ; 8.497.901,20 ; -   ; 9.662.408,53 ; 28.002.100,96 ;;;;
PB;2507002;ITAPORANGA; 18.037.924,99 ; 1.145.346,13 ; 5.996.880,05 ; -   ; 7.142.226,18 ; 25.180.151,17 ;;;;
PB;2507101;ITAPOROROCA; 26.798.878,91 ; 1.701.636,54 ; 7.044.225,85 ; 2.356.948,89 ; 11.102.811,28 ; 37.901.690,19 ;;;;
PB;2507200;ITATUBA; 11.825.060,21 ; 750.850,61 ; 2.478.275,39 ; -   ; 3.229.126,00 ; 15.054.186,21 ;;;;
PB;2507309;JACARAU; 24.602.234,53 ; 1.562.157,19 ; 7.821.279,06 ; -   ; 9.383.436,25 ; 33.985.670,78 ;;;;
PB;2507408;JERICO; 10.915.006,28 ; 693.065,32 ; 3.945.253,82 ; 841.303,55 ; 5.479.622,69 ; 16.394.628,97 ;;;;
PB;2507507;JOAO PESSOA; 594.651.897,33 ; 37.758.348,07 ; -   ; -   ; 37.758.348,07 ; 632.410.245,40 ;;;;
PB;2513653;JOCA CLAUDINO; 8.403.956,46 ; 533.622,30 ; 3.881.099,34 ; 714.397,38 ; 5.129.119,02 ; 13.533.075,48 ;;;;
PB;2507606;JUAREZ TAVORA; 10.046.610,62 ; 637.925,18 ; 3.733.390,16 ; 885.330,14 ; 5.256.645,48 ; 15.303.256,10 ;;;;
PB;2507705;JUAZEIRINHO; 22.637.736,08 ; 1.437.418,30 ; 6.592.202,91 ; -   ; 8.029.621,21 ; 30.667.357,29 ;;;;
PB;2507804;JUNCO DO SERIDO; 8.206.873,10 ; 521.108,19 ; 2.572.041,74 ; 736.086,05 ; 3.829.235,98 ; 12.036.109,08 ;;;;
PB;2507903;JURIPIRANGA; 15.645.400,68 ; 993.429,08 ; 4.963.569,14 ; -   ; 5.956.998,22 ; 21.602.398,90 ;;;;
PB;2508000;JURU; 11.995.104,80 ; 761.647,85 ; 4.012.532,43 ; 1.124.089,55 ; 5.898.269,83 ; 17.893.374,63 ;;;;
PB;2508109;LAGOA; 4.551.529,72 ; 289.006,47 ; -   ; 427.112,59 ; 716.119,06 ; 5.267.648,78 ;;;;
PB;2508208;LAGOA DE DENTRO; 13.201.829,17 ; 838.270,70 ; 4.538.739,90 ; 1.129.600,46 ; 6.506.611,06 ; 19.708.440,23 ;;;;
PB;2508307;LAGOA SECA; 34.603.116,32 ; 2.197.178,75 ; 18.625.730,74 ; 2.814.154,67 ; 23.637.064,16 ; 58.240.180,48 ;;;;
PB;2508406;LASTRO; 5.302.216,70 ; 336.672,50 ; 1.004.745,70 ; 413.786,41 ; 1.755.204,61 ; 7.057.421,31 ;;;;
PB;2508505;LIVRAMENTO; 9.371.362,19 ; 595.049,23 ; 3.154.271,30 ; -   ; 3.749.320,53 ; 13.120.682,72 ;;;;
PB;2508554;LOGRADOURO; 7.700.484,57 ; 488.954,26 ; 3.224.855,64 ; -   ; 3.713.809,90 ; 11.414.294,47 ;;;;
PB;2508604;LUCENA; 18.787.071,77 ; 1.192.914,37 ; 7.687.463,09 ; -   ; 8.880.377,46 ; 27.667.449,23 ;;;;
PB;2508703;MAE DAGUA; 4.285.624,26 ; 272.122,38 ; 271.742,63 ; 401.547,24 ; 945.412,25 ; 5.231.036,51 ;;;;
PB;2508802;MALTA; 8.489.437,28 ; 539.050,04 ; 3.673.317,95 ; -   ; 4.212.367,99 ; 12.701.805,27 ;;;;
PB;2508901;MAMANGUAPE; 42.813.543,66 ; 2.718.512,61 ; 16.031.704,92 ; 3.921.701,28 ; 22.671.918,81 ; 65.485.462,47 ;;;;
PB;2509008;MANAIRA; 12.675.412,75 ; 804.845,07 ; 5.085.258,04 ; 1.135.156,27 ; 7.025.259,38 ; 19.700.672,13 ;;;;
PB;2509057;MARCACAO; 15.211.501,79 ; 965.877,99 ; 6.306.695,94 ; 989.323,11 ; 8.261.897,04 ; 23.473.398,83 ;;;;
PB;2509107;MARI; 29.014.744,25 ; 1.842.336,36 ; 7.925.271,04 ; 2.248.688,00 ; 12.016.295,40 ; 41.031.039,65 ;;;;
PB;2509156;MARIZOPOLIS; 12.718.104,52 ; 807.555,85 ; 7.218.253,66 ; 957.773,94 ; 8.983.583,45 ; 21.701.687,97 ;;;;
PB;2509206;MASSARANDUBA; 16.699.663,52 ; 1.060.371,14 ; 8.248.614,66 ; -   ; 9.308.985,80 ; 26.008.649,32 ;;;;
PB;2509305;MATARACA; 16.366.388,43 ; 1.039.209,32 ; 7.236.119,71 ; 1.547.837,77 ; 9.823.166,80 ; 26.189.555,23 ;;;;
PB;2509339;MATINHAS; 6.878.496,90 ; 436.760,87 ; 2.638.239,06 ; 595.520,55 ; 3.670.520,48 ; 10.549.017,38 ;;;;
PB;2509370;MATO GROSSO; 6.988.421,02 ; 443.740,67 ; 1.555.195,98 ; 276.362,37 ; 2.275.299,02 ; 9.263.720,04 ;;;;
PB;2509396;MATUREIA; 9.635.759,51 ; 611.837,55 ; 3.946.340,45 ; 879.613,31 ; 5.437.791,31 ; 15.073.550,82 ;;;;
PB;2509404;MOGEIRO; 21.452.922,14 ; 1.362.186,69 ; 10.680.860,83 ; -   ; 12.043.047,52 ; 33.495.969,66 ;;;;
PB;2509503;MONTADAS; 9.380.105,20 ; 595.604,38 ; 4.927.223,26 ; -   ; 5.522.827,64 ; 14.902.932,84 ;;;;
PB;2509602;MONTE HOREBE; 9.295.759,29 ; 590.248,71 ; 630.282,13 ; 747.208,23 ; 1.967.739,07 ; 11.263.498,36 ;;;;
PB;2509701;MONTEIRO; 37.745.653,79 ; 2.396.719,06 ; 16.687.769,47 ; 3.709.377,48 ; 22.793.866,01 ; 60.539.519,80 ;;;;
PB;2509800;MULUNGU; 13.272.486,73 ; 842.757,21 ; 8.241.810,26 ; 516.725,98 ; 9.601.293,45 ; 22.873.780,18 ;;;;
PB;2509909;NATUBA; 15.949.644,30 ; 1.012.747,50 ; 7.353.666,51 ; -   ; 8.366.414,01 ; 24.316.058,31 ;;;;
PB;2510006;NAZAREZINHO; 7.856.991,99 ; 498.891,94 ; 909.013,96 ; 742.235,72 ; 2.150.141,62 ; 10.007.133,61 ;;;;
PB;2510105;NOVA FLORESTA; 11.207.260,82 ; 711.622,48 ; 4.908.454,47 ; -   ; 5.620.076,95 ; 16.827.337,77 ;;;;
PB;2510204;NOVA OLINDA; 8.840.811,91 ; 561.361,12 ; 2.864.496,26 ; -   ; 3.425.857,38 ; 12.266.669,29 ;;;;
PB;2510303;NOVA PALMEIRA; 4.865.788,70 ; 308.960,83 ; -   ; 472.581,03 ; 781.541,86 ; 5.647.330,56 ;;;;
PB;2510402;OLHO DAGUA; 7.314.507,27 ; 464.446,03 ; 2.715.217,90 ; 611.825,64 ; 3.791.489,57 ; 11.105.996,84 ;;;;
PB;2510501;OLIVEDOS; 5.703.599,60 ; 362.158,94 ; 1.639.586,77 ; 484.479,05 ; 2.486.224,76 ; 8.189.824,36 ;;;;
PB;2510600;OURO VELHO; 3.363.228,83 ; 213.553,45 ; -   ; 316.930,86 ; 530.484,31 ; 3.893.713,14 ;;;;
PB;2510659;PARARI; 2.092.332,29 ; 132.855,90 ; -   ; 172.879,95 ; 305.735,85 ; 2.398.068,14 ;;;;
PB;2510709;PASSAGEM; 4.248.073,66 ; 269.738,05 ; 1.782.253,82 ; -   ; 2.051.991,87 ; 6.300.065,53 ;;;;
PB;2510808;PATOS; 86.873.919,08 ; 5.516.194,75 ; 37.469.242,19 ; 8.112.713,02 ; 51.098.149,96 ; 137.972.069,04 ;;;;
PB;2510907;PAULISTA; 19.922.546,34 ; 1.265.013,10 ; 4.886.364,28 ; 1.744.178,19 ; 7.895.555,57 ; 27.818.101,91 ;;;;
PB;2511004;PEDRA BRANCA; 5.979.880,91 ; 379.701,85 ; 2.537.674,75 ; 527.668,51 ; 3.445.045,11 ; 9.424.926,02 ;;;;
PB;2511103;PEDRA LAVRADA; 11.754.741,97 ; 746.385,64 ; 3.446.978,37 ; 469.833,43 ; 4.663.197,44 ; 16.417.939,41 ;;;;
PB;2511202;PEDRAS DE FOGO; 44.934.580,13 ; 2.853.191,13 ; 13.370.658,54 ; -   ; 16.223.849,67 ; 61.158.429,80 ;;;;
PB;2512721;PEDRO REGIS; 8.333.310,08 ; 529.136,50 ; 3.220.511,59 ; -   ; 3.749.648,09 ; 12.082.958,17 ;;;;
PB;2511301;PIANCO; 11.434.066,61 ; 726.023,86 ; 6.516.716,88 ; -   ; 7.242.740,74 ; 18.676.807,35 ;;;;
PB;2511400;PICUI; 24.360.570,30 ; 1.546.812,34 ; 8.885.873,56 ; 1.084.743,10 ; 11.517.429,00 ; 35.877.999,30 ;;;;
PB;2511509;PILAR; 17.350.782,58 ; 1.101.714,95 ; 10.771.040,77 ; 693.116,24 ; 12.565.871,96 ; 29.916.654,54 ;;;;
PB;2511608;PILOES; 11.311.368,11 ; 718.232,93 ; 5.623.529,33 ; 995.171,57 ; 7.336.933,83 ; 18.648.301,94 ;;;;
PB;2511707;PILOEZINHOS; 7.662.671,20 ; 486.553,24 ; 2.176.765,12 ; 334.337,71 ; 2.997.656,07 ; 10.660.327,27 ;;;;
PB;2511806;PIRPIRITUBA; 9.806.368,09 ; 622.670,61 ; 3.811.032,32 ; -   ; 4.433.702,93 ; 14.240.071,02 ;;;;
PB;2511905;PITIMBU; 24.399.555,17 ; 1.549.287,75 ; 3.932.894,70 ; -   ; 5.482.182,45 ; 29.881.737,62 ;;;;
PB;2512002;POCINHOS; 31.188.021,54 ; 1.980.331,99 ; 14.670.086,11 ; 1.247.425,85 ; 17.897.843,95 ; 49.085.865,49 ;;;;
PB;2512036;POCO DANTAS; 10.192.197,76 ; 647.169,47 ; 2.095.151,02 ; 897.778,02 ; 3.640.098,51 ; 13.832.296,27 ;;;;
PB;2512077;POCO DE JOSE DE MOURA; 14.968.279,41 ; 950.434,21 ; 9.259.268,41 ; 632.537,14 ; 10.842.239,76 ; 25.810.519,17 ;;;;
PB;2512101;POMBAL; 39.958.489,86 ; 2.537.226,53 ; 20.211.225,67 ; -   ; 22.748.452,20 ; 62.706.942,06 ;;;;
PB;2512200;PRATA; 4.696.849,58 ; 298.233,78 ; 630.312,17 ; 444.657,89 ; 1.373.203,84 ; 6.070.053,42 ;;;;
PB;2512309;PRINCESA ISABEL; 19.046.456,54 ; 1.209.384,41 ; 7.265.135,52 ; 1.874.265,84 ; 10.348.785,77 ; 29.395.242,31 ;;;;
PB;2512408;PUXINANA; 29.096.494,07 ; 1.847.527,19 ; 19.146.316,91 ; 1.076.336,92 ; 22.070.181,02 ; 51.166.675,09 ;;;;
PB;2512507;QUEIMADAS; 70.633.204,91 ; 4.484.965,32 ; 38.023.445,42 ; 6.858.848,01 ; 49.367.258,75 ; 120.000.463,66 ;;;;
PB;2512606;QUIXABA; 2.571.457,93 ; 163.278,73 ; -   ; -   ; 163.278,73 ; 2.734.736,66 ;;;;
PB;2512705;REMIGIO; 22.861.628,00 ; 1.451.634,67 ; 10.500.293,42 ; -   ; 11.951.928,09 ; 34.813.556,09 ;;;;
PB;2512747;RIACHAO; 4.538.968,25 ; 288.208,86 ; 168.848,88 ; 411.036,43 ; 868.094,17 ; 5.407.062,42 ;;;;
PB;2512754;RIACHAO DO BACAMARTE; 10.390.068,88 ; 659.733,60 ; 3.300.837,33 ; -   ; 3.960.570,93 ; 14.350.639,81 ;;;;
PB;2512762;RIACHAO DO POCO; 8.214.925,56 ; 521.619,49 ; 3.501.786,61 ; -   ; 4.023.406,10 ; 12.238.331,66 ;;;;
PB;2512788;RIACHO DE SANTO ANTONIO; 3.871.418,86 ; 245.821,77 ; 555.243,34 ; 165.610,41 ; 966.675,52 ; 4.838.094,38 ;;;;
PB;2512804;RIACHO DOS CAVALOS; 15.511.056,35 ; 984.898,67 ; 6.154.708,37 ; -   ; 7.139.607,04 ; 22.650.663,39 ;;;;
PB;2512903;RIO TINTO; 28.213.147,73 ; 1.791.437,74 ; 15.557.914,17 ; 2.159.952,81 ; 19.509.304,72 ; 47.722.452,45 ;;;;
PB;2513000;SALGADINHO; 4.398.188,76 ; 279.269,84 ; 9.039,37 ; -   ; 288.309,21 ; 4.686.497,97 ;;;;
PB;2513109;SALGADO DE SAO FELIX; 14.740.589,37 ; 935.976,67 ; 5.148.763,01 ; 1.181.166,17 ; 7.265.905,85 ; 22.006.495,22 ;;;;
PB;2513158;SANTA CECILIA; 10.077.324,84 ; 639.875,43 ; 4.008.843,16 ; 912.517,29 ; 5.561.235,88 ; 15.638.560,72 ;;;;
PB;2513208;SANTA CRUZ; 5.296.369,91 ; 336.301,25 ; 614.287,54 ; 515.715,52 ; 1.466.304,31 ; 6.762.674,22 ;;;;
PB;2513307;SANTA HELENA; 6.439.612,54 ; 408.893,22 ; -   ; -   ; 408.893,22 ; 6.848.505,76 ;;;;
PB;2513356;SANTA INES; 3.133.266,11 ; 198.951,61 ; -   ; 268.268,74 ; 467.220,35 ; 3.600.486,46 ;;;;
PB;2513406;SANTA LUZIA; 13.680.088,30 ; 868.638,51 ; 4.323.275,78 ; 1.278.014,16 ; 6.469.928,45 ; 20.150.016,75 ;;;;
PB;2513703;SANTA RITA; 96.929.460,32 ; 6.154.687,00 ; 13.748.926,02 ; -   ; 19.903.613,02 ; 116.833.073,34 ;;;;
PB;2513802;SANTA TERESINHA; 4.323.125,32 ; 274.503,57 ; -   ; 188.673,10 ; 463.176,67 ; 4.786.301,99 ;;;;
PB;2513505;SANTANA DE MANGUEIRA; 7.038.159,89 ; 446.898,92 ; 3.782.251,69 ; 258.222,86 ; 4.487.373,47 ; 11.525.533,36 ;;;;
PB;2513604;SANTANA DOS GARROTES; 8.356.495,70 ; 530.608,70 ; 881.312,39 ; -   ; 1.411.921,09 ; 9.768.416,79 ;;;;
PB;2513851;SANTO ANDRE; 3.461.826,07 ; 219.814,04 ; 175.856,22 ; -   ; 395.670,26 ; 3.857.496,33 ;;;;
PB;2513927;SAO BENTINHO; 6.065.761,29 ; 385.154,96 ; 1.447.144,36 ; 551.849,59 ; 2.384.148,91 ; 8.449.910,20 ;;;;
PB;2513901;SAO BENTO; 65.033.772,73 ; 4.129.420,66 ; 24.735.186,19 ; -   ; 28.864.606,85 ; 93.898.379,58 ;;;;
PB;2513968;SAO DOMINGOS; 3.545.847,11 ; 225.149,08 ; -   ; 156.262,55 ; 381.411,63 ; 3.927.258,74 ;;;;
PB;2513943;SAO DOMINGOS DO CARIRI; 4.226.787,54 ; 268.386,46 ; 1.366.610,93 ; 387.624,57 ; 2.022.621,96 ; 6.249.409,50 ;;;;
PB;2513984;SAO FRANCISCO; 6.655.815,62 ; 422.621,38 ; 3.201.917,24 ; 472.642,17 ; 4.097.180,79 ; 10.752.996,41 ;;;;
PB;2514008;SAO JOAO DO CARIRI; 7.354.077,87 ; 466.958,62 ; 3.506.564,53 ; 561.282,36 ; 4.534.805,51 ; 11.888.883,38 ;;;;
PB;2500700;SAO JOAO DO RIO DO PEIXE; 30.951.741,70 ; 1.965.329,03 ; 2.251.821,91 ; 2.503.360,81 ; 6.720.511,75 ; 37.672.253,45 ;;;;
PB;2514107;SAO JOAO DO TIGRE; 6.101.362,76 ; 387.415,53 ; 1.486.575,17 ; 515.366,20 ; 2.389.356,90 ; 8.490.719,66 ;;;;
PB;2514206;SAO JOSE DA LAGOA TAPADA; 11.895.984,32 ; 755.354,05 ; 4.730.735,71 ; 420.417,60 ; 5.906.507,36 ; 17.802.491,68 ;;;;
PB;2514305;SAO JOSE DE CAIANA; 8.126.513,51 ; 516.005,63 ; 1.762.652,81 ; -   ; 2.278.658,44 ; 10.405.171,95 ;;;;
PB;2514404;SAO JOSE DE ESPINHARAS; 4.062.029,92 ; 257.924,91 ; 218.181,03 ; 375.210,96 ; 851.316,90 ; 4.913.346,82 ;;;;
PB;2514503;SAO JOSE DE PIRANHAS; 25.660.361,64 ; 1.629.344,61 ; 5.388.032,31 ; 1.083.384,80 ; 8.100.761,72 ; 33.761.123,36 ;;;;
PB;2514552;SAO JOSE DE PRINCESA; 3.798.746,24 ; 241.207,31 ; 1.361.041,86 ; -   ; 1.602.249,17 ; 5.400.995,41 ;;;;
PB;2514602;SAO JOSE DO BONFIM; 4.602.379,49 ; 292.235,25 ; 761.687,88 ; 201.559,00 ; 1.255.482,13 ; 5.857.861,62 ;;;;
PB;2514651;SAO JOSE DO BREJO DO CRUZ; 4.491.878,80 ; 285.218,84 ; 163.021,40 ; -   ; 448.240,24 ; 4.940.119,04 ;;;;
PB;2514701;SAO JOSE DO SABUGI; 5.673.309,17 ; 360.235,60 ; 895.334,44 ; 505.328,83 ; 1.760.898,87 ; 7.434.208,04 ;;;;
PB;2514800;SAO JOSE DOS CORDEIROS; 3.769.140,66 ; 239.327,45 ; 382.819,87 ; 363.938,95 ; 986.086,27 ; 4.755.226,93 ;;;;
PB;2514453;SAO JOSE DOS RAMOS; 11.244.469,71 ; 713.985,11 ; 4.011.477,14 ; 927.120,03 ; 5.652.582,28 ; 16.897.051,99 ;;;;
PB;2514909;SAO MAMEDE; 8.573.809,64 ; 544.407,39 ; 3.035.329,67 ; -   ; 3.579.737,06 ; 12.153.546,70 ;;;;
PB;2515005;SAO MIGUEL DE TAIPU; 11.231.569,73 ; 713.166,01 ; 3.721.249,80 ; 866.115,62 ; 5.300.531,43 ; 16.532.101,16 ;;;;
PB;2515104;SAO SEBASTIAO DE LAGOA DE ROCA; 11.392.308,91 ; 723.372,39 ; 3.669.726,81 ; -   ; 4.393.099,20 ; 15.785.408,11 ;;;;
PB;2515203;SAO SEBASTIAO DO UMBUZEIRO; 5.029.736,08 ; 319.370,92 ; 1.316.382,13 ; 470.002,60 ; 2.105.755,65 ; 7.135.491,73 ;;;;
PB;2515401;SAO VICENTE DO SERIDO; 14.975.122,02 ; 950.868,69 ; 7.905.561,06 ; 1.322.536,81 ; 10.178.966,56 ; 25.154.088,58 ;;;;
PB;2515302;SAPE; 49.782.429,39 ; 3.161.012,86 ; 18.748.672,42 ; -   ; 21.909.685,28 ; 71.692.114,67 ;;;;
PB;2515500;SERRA BRANCA; 9.571.156,34 ; 607.735,47 ; 1.543.167,94 ; 887.820,65 ; 3.038.724,06 ; 12.609.880,40 ;;;;
PB;2515609;SERRA DA RAIZ; 5.959.147,43 ; 378.385,34 ; 2.152.148,79 ; 241.109,53 ; 2.771.643,66 ; 8.730.791,09 ;;;;
PB;2515708;SERRA GRANDE; 4.191.154,59 ; 266.123,89 ; 65.752,55 ; 438.386,87 ; 770.263,31 ; 4.961.417,90 ;;;;
PB;2515807;SERRA REDONDA; 8.049.677,18 ; 511.126,79 ; 4.455.530,75 ; 684.652,55 ; 5.651.310,09 ; 13.700.987,27 ;;;;
PB;2515906;SERRARIA; 5.983.921,73 ; 379.958,43 ; 1.934.522,22 ; 272.071,41 ; 2.586.552,06 ; 8.570.473,79 ;;;;
PB;2515930;SERTAOZINHO; 8.709.897,94 ; 553.048,53 ; 2.745.286,00 ; 796.412,05 ; 4.094.746,58 ; 12.804.644,52 ;;;;
PB;2515971;SOBRADO; 13.907.936,73 ; 883.106,10 ; 6.853.560,42 ; -   ; 7.736.666,52 ; 21.644.603,25 ;;;;
PB;2516003;SOLANEA; 23.642.678,07 ; 1.501.228,66 ; 5.065.143,99 ; -   ; 6.566.372,65 ; 30.209.050,72 ;;;;
PB;2516102;SOLEDADE; 18.845.666,14 ; 1.196.634,91 ; 7.471.030,74 ; 846.666,06 ; 9.514.331,71 ; 28.359.997,85 ;;;;
PB;2516151;SOSSEGO; 6.064.453,26 ; 385.071,90 ; 2.026.622,66 ; -   ; 2.411.694,56 ; 8.476.147,82 ;;;;
