ANEXO IV;;;;;;
Portaria Interministerial MEC/MF nº 14, de 29 de dezembro de 2025;;;;;;
Demonstrativo da Distribuição da Complementação da União-VAAT ao Fundeb no Ano de 2026 (art. 16, incisos V a VII da Lei nº 14.113/2020);;;;;;
UF;Ente Federado;Código IBGE; VAAT anterior à Complementação-VAAT (art. 16, IV) (R$) ;" VAAT com a Complementação da União-VAAT
(art. 16, V) (R$) ";" Complementação da União-VAAT
(art. 16, VI) (R$) ";Indicador de Educação Infantil (IEI) - Percentual da Complementação da União-VAAT vinculado à Educação Infantil (art. 16, VII) (%)
PA;SANTA MARIA DAS BARREIRAS;1506583; 7.637,31 ; 10.194,38 ; 14.952.235,44 ;54%
PA;SANTA MARIA DO PARA;1506609; 8.052,47 ; 10.194,38 ; 9.736.404,40 ;54%
PA;SANTANA DO ARAGUAIA;1506708; 7.778,87 ; 10.194,38 ; 46.008.510,24 ;44%
PA;SANTAREM;1506807; 7.739,89 ; 10.194,38 ; 204.148.454,99 ;57%
PA;SANTAREM NOVO;1506906; 7.621,36 ; 10.194,38 ; 5.588.541,54 ;52%
PA;SANTO ANTONIO DO TAUA;1507003; 6.917,23 ; 10.194,38 ; 27.823.943,32 ;58%
PA;SAO CAETANO DE ODIVELAS;1507102; 7.445,99 ; 10.194,38 ; 13.327.733,40 ;54%
PA;SAO DOMINGOS DO ARAGUAIA;1507151; 8.554,14 ; 10.194,38 ; 9.163.286,27 ;55%
PA;SAO DOMINGOS DO CAPIM;1507201; 7.718,90 ; 10.194,38 ; 26.500.859,33 ;52%
PA;SAO FELIX DO XINGU;1507300; 8.232,84 ; 10.194,38 ; 40.241.302,73 ;54%
PA;SAO FRANCISCO DO PARA;1507409; 7.395,82 ; 10.194,38 ; 11.067.657,15 ;62%
PA;SAO GERALDO DO ARAGUAIA;1507458; 7.389,47 ; 10.194,38 ; 22.119.980,58 ;55%
PA;SAO JOAO DE PIRABAS;1507474; 7.616,83 ; 10.194,38 ; 14.895.504,70 ;64%
PA;SAO JOAO DO ARAGUAIA;1507508; 8.281,54 ; 10.194,38 ; 7.827.605,17 ;57%
PA;SAO MIGUEL DO GUAMA;1507607; 7.507,32 ; 10.194,38 ; 49.259.304,48 ;55%
PA;SAO SEBASTIAO DA BOA VISTA;1507706; 7.555,99 ; 10.194,38 ; 24.314.778,12 ;54%
PA;SAPUCAIA;1507755; 7.429,90 ; 10.194,38 ; 7.029.431,63 ;44%
PA;SENADOR JOSE PORFIRIO;1507805; 6.880,38 ; 10.194,38 ; 33.273.278,59 ;55%
PA;SOURE;1507904; 7.929,27 ; 10.194,38 ; 13.453.657,34 ;49%
PA;TAILANDIA;1507953; 7.528,95 ; 10.194,38 ; 60.328.837,53 ;54%
PA;TERRA ALTA;1507961; 7.021,09 ; 10.194,38 ; 8.491.215,33 ;53%
PA;TERRA SANTA;1507979; 7.976,25 ; 10.194,38 ; 13.932.886,32 ;57%
PA;TOME-ACU;1508001; 7.851,84 ; 10.194,38 ; 58.196.608,55 ;56%
PA;TRACUATEUA;1508035; 8.161,41 ; 10.194,38 ; 15.990.377,89 ;62%
PA;TRAIRAO;1508050; 8.191,90 ; 10.194,38 ; 9.992.215,93 ;54%
PA;TUCUMA;1508084; 8.909,47 ; 10.194,38 ; 13.200.292,40 ;50%
PA;TUCURUI;1508100; 6.575,86 ; 10.194,38 ; 109.065.488,52 ;54%
PA;ULIANOPOLIS;1508126; 8.101,84 ; 10.194,38 ; 18.215.055,50 ;52%
PA;URUARA;1508159; 7.457,68 ; 10.194,38 ; 46.203.669,34 ;64%
PA;VIGIA;1508209; 7.279,64 ; 10.194,38 ; 28.640.053,54 ;57%
PA;VISEU;1508308; 7.909,38 ; 10.194,38 ; 47.726.642,47 ;53%
PA;VITORIA DO XINGU;1508357; 9.324,98 ; 10.194,38 ; 5.799.516,00 ;56%
PA;XINGUARA;1508407; 8.228,47 ; 10.194,38 ; 24.289.820,68 ;52%
PB;AGUA BRANCA;2500106; 8.121,25 ; 10.194,38 ; 5.792.919,70 ;44%
PB;AGUIAR;2500205; 7.834,47 ; 10.194,38 ; 4.211.073,65 ;35%
PB;ALAGOA GRANDE;2500304; 7.795,01 ; 10.194,38 ; 13.493.183,33 ;56%
PB;ALAGOA NOVA;2500403; 7.178,93 ; 10.194,38 ; 15.841.325,71 ;56%
PB;ALAGOINHA;2500502; 9.263,37 ; 10.194,38 ; 2.580.243,80 ;56%
PB;ALCANTIL;2500536; 7.919,91 ; 10.194,38 ; 3.708.903,39 ;47%
PB;ALGODAO DE JANDAIRA;2500577; 9.699,89 ; 10.194,38 ; 379.588,70 ;58%
PB;ALHANDRA;2500601; 9.460,13 ; 10.194,38 ; 3.997.087,16 ;53%
PB;AMPARO;2500734; 10.694,38 ; 10.694,38 ; -   ;0%
PB;APARECIDA;2500775; 7.436,66 ; 10.194,38 ; 5.720.501,15 ;54%
PB;ARACAGI;2500809; 8.215,94 ; 10.194,38 ; 8.069.168,42 ;50%
PB;ARARA;2500908; 9.562,05 ; 10.194,38 ; 1.365.452,88 ;55%
PB;ARARUNA;2501005; 7.912,24 ; 10.194,38 ; 10.928.370,01 ;56%
PB;AREIA;2501104; 7.261,61 ; 10.194,38 ; 16.624.721,81 ;55%
PB;AREIA DE BARAUNAS;2501153; 10.841,22 ; 10.841,22 ; -   ;0%
PB;AREIAL;2501203; 7.988,65 ; 10.194,38 ; 4.961.827,03 ;51%
PB;AROEIRAS;2501302; 7.360,31 ; 10.194,38 ; 14.674.100,23 ;50%
PB;ASSUNCAO;2501351; 9.004,62 ; 10.194,38 ; 1.545.606,62 ;48%
PB;BAIA DA TRAICAO;2501401; 5.999,57 ; 10.194,38 ; 19.949.522,12 ;51%
PB;BANANEIRAS;2501500; 8.462,91 ; 10.194,38 ; 8.486.840,90 ;53%
PB;BARAUNA;2501534; 8.796,12 ; 10.194,38 ; 1.812.317,78 ;47%
PB;BARRA DE SANTA ROSA;2501609; 8.274,14 ; 10.194,38 ; 5.924.111,13 ;47%
PB;BARRA DE SANTANA;2501575; 7.020,09 ; 10.194,38 ; 7.766.874,87 ;56%
PB;BARRA DE SAO MIGUEL;2501708; 6.560,43 ; 10.194,38 ; 11.360.037,87 ;41%
PB;BAYEUX;2501807; 9.577,66 ; 10.194,38 ; 6.660.347,98 ;57%
PB;BELEM;2501906; 8.914,07 ; 10.194,38 ; 3.457.518,35 ;57%
PB;BELEM DO BREJO DO CRUZ;2502003; 9.056,32 ; 10.194,38 ; 2.061.443,97 ;46%
PB;BERNARDINO BATISTA;2502052; 8.015,81 ; 10.194,38 ; 4.889.839,09 ;45%
PB;BOA VENTURA;2502102; 9.092,08 ; 10.194,38 ; 1.134.281,24 ;59%
PB;BOA VISTA;2502151; 8.973,69 ; 10.194,38 ; 2.154.936,52 ;55%
PB;BOM JESUS;2502201; 8.137,93 ; 10.194,38 ; 2.294.810,42 ;39%
PB;BOM SUCESSO;2502300; 10.503,68 ; 10.503,68 ; -   ;0%
PB;BONITO DE SANTA FE;2502409; 8.140,57 ; 10.194,38 ; 4.884.157,65 ;53%
PB;BOQUEIRAO;2502508; 8.581,91 ; 10.194,38 ; 5.062.660,00 ;58%
PB;BORBOREMA;2502706; 9.078,31 ; 10.194,38 ; 1.103.125,19 ;56%
PB;BREJO DO CRUZ;2502805; 9.274,46 ; 10.194,38 ; 3.568.980,41 ;47%
PB;BREJO DOS SANTOS;2502904; 9.517,81 ; 10.194,38 ; 787.891,22 ;55%
PB;CAAPORA;2503001; 7.590,79 ; 10.194,38 ; 15.127.935,25 ;53%
PB;CABACEIRAS;2503100; 7.849,21 ; 10.194,38 ; 4.690.509,12 ;53%
PB;CABEDELO;2503209; 12.244,18 ; 12.244,18 ; -   ;0%
PB;CACHOEIRA DOS INDIOS;2503308; 7.477,41 ; 10.194,38 ; 6.196.832,08 ;50%
PB;CACIMBA DE AREIA;2503407; 9.082,67 ; 10.194,38 ; 830.053,21 ;59%
PB;CACIMBA DE DENTRO;2503506; 7.811,90 ; 10.194,38 ; 7.867.037,34 ;52%
PB;CACIMBAS;2503555; 7.480,86 ; 10.194,38 ; 7.670.406,44 ;56%
PB;CAICARA;2503605; 8.288,20 ; 10.194,38 ; 3.309.756,13 ;47%
PB;CAJAZEIRAS;2503704; 7.783,55 ; 10.194,38 ; 31.224.920,38 ;49%
PB;CAJAZEIRINHAS;2503753; 10.144,91 ; 10.194,38 ; 36.533,76 ;36%
PB;CALDAS BRANDAO;2503803; 9.955,05 ; 10.194,38 ; 362.836,12 ;57%
PB;CAMALAU;2503902; 8.254,85 ; 10.194,38 ; 3.053.199,30 ;51%
PB;CAMPINA GRANDE;2504009; 9.027,35 ; 10.194,38 ; 59.896.395,50 ;53%
PB;CAPIM;2504033; 8.244,81 ; 10.194,38 ; 3.640.782,73 ;56%
PB;CARAUBAS;2504074; 10.196,82 ; 10.196,82 ; -   ;0%
PB;CARRAPATEIRA;2504108; 10.055,71 ; 10.194,38 ; 129.316,00 ;45%
PB;CASSERENGUE;2504157; 8.764,38 ; 10.194,38 ; 2.381.935,79 ;56%
PB;CATINGUEIRA;2504207; 9.561,03 ; 10.194,38 ; 688.028,89 ;48%
PB;CATOLE DO ROCHA;2504306; 8.763,74 ; 10.194,38 ; 7.054.615,99 ;53%
PB;CATURITE;2504355; 7.775,64 ; 10.194,38 ; 3.969.119,68 ;52%
PB;CONCEICAO;2504405; 8.148,39 ; 10.194,38 ; 8.038.071,69 ;57%
PB;CONDADO;2504504; 9.843,93 ; 10.194,38 ; 402.816,85 ;61%
PB;CONDE;2504603; 8.986,59 ; 10.194,38 ; 10.456.410,59 ;56%
PB;CONGO;2504702; 8.907,76 ; 10.194,38 ; 1.792.035,94 ;50%
PB;COREMAS;2504801; 8.127,88 ; 10.194,38 ; 5.498.158,47 ;57%
PB;COXIXOLA;2504850; 11.722,59 ; 11.722,59 ; -   ;0%
PB;CRUZ DO ESPIRITO SANTO;2504900; 8.583,47 ; 10.194,38 ; 6.886.474,34 ;55%
PB;CUBATI;2505006; 7.908,39 ; 10.194,38 ; 5.998.877,78 ;49%
PB;CUITE;2505105; 7.530,28 ; 10.194,38 ; 10.764.402,01 ;48%
PB;CUITE DE MAMANGUAPE;2505238; 8.963,87 ; 10.194,38 ; 2.684.528,01 ;46%
PB;CUITEGI;2505204; 8.493,24 ; 10.194,38 ; 2.983.157,36 ;47%
PB;CURRAL DE CIMA;2505279; 7.979,23 ; 10.194,38 ; 4.411.683,69 ;51%
PB;CURRAL VELHO;2505303; 9.054,58 ; 10.194,38 ; 824.778,13 ;32%
PB;DAMIAO;2505352; 8.587,45 ; 10.194,38 ; 2.272.923,89 ;43%
PB;DESTERRO;2505402; 8.694,53 ; 10.194,38 ; 2.363.556,75 ;50%
PB;DIAMANTE;2505600; 7.155,05 ; 10.194,38 ; 3.692.814,71 ;52%
PB;DONA INES;2505709; 8.414,95 ; 10.194,38 ; 4.847.259,46 ;52%
PB;DUAS ESTRADAS;2505808; 10.008,31 ; 10.194,38 ; 171.354,26 ;55%
PB;EMAS;2505907; 9.593,42 ; 10.194,38 ; 483.048,88 ;55%
PB;ESPERANCA;2506004; 7.890,73 ; 10.194,38 ; 20.025.908,22 ;56%
PB;FAGUNDES;2506103; 9.305,97 ; 10.194,38 ; 1.906.522,83 ;54%
PB;FREI MARTINHO;2506202; 9.623,31 ; 10.194,38 ; 334.717,72 ;39%
PB;GADO BRAVO;2506251; 6.835,85 ; 10.194,38 ; 11.614.932,09 ;50%
PB;GUARABIRA;2506301; 8.176,14 ; 10.194,38 ; 17.858.108,47 ;53%
PB;GURINHEM;2506400; 7.146,67 ; 10.194,38 ; 14.503.838,56 ;47%
PB;GURJAO;2506509; 8.841,90 ; 10.194,38 ; 1.268.834,19 ;44%
PB;IBIARA;2506608; 8.187,68 ; 10.194,38 ; 2.183.658,91 ;47%
PB;IGARACY;2502607; 8.770,55 ; 10.194,38 ; 1.658.592,13 ;53%
PB;IMACULADA;2506707; 9.152,00 ; 10.194,38 ; 2.249.343,97 ;53%
PB;INGA;2506806; 7.995,06 ; 10.194,38 ; 9.843.699,15 ;55%
PB;ITABAIANA;2506905; 7.740,18 ; 10.194,38 ; 8.497.901,20 ;50%
PB;ITAPORANGA;2507002; 8.370,76 ; 10.194,38 ; 5.996.880,05 ;55%
PB;ITAPOROROCA;2507101; 8.759,60 ; 10.194,38 ; 7.044.225,85 ;52%
PB;ITATUBA;2507200; 9.049,11 ; 10.194,38 ; 2.478.275,39 ;55%
PB;JACARAU;2507309; 8.456,00 ; 10.194,38 ; 7.821.279,06 ;49%
PB;JERICO;2507408; 8.235,73 ; 10.194,38 ; 3.945.253,82 ;33%
PB;JOAO PESSOA;2507507; 10.273,44 ; 10.273,44 ; -   ;0%
PB;JOCA CLAUDINO;2513653; 7.628,61 ; 10.194,38 ; 3.881.099,34 ;41%
PB;JUAREZ TAVORA;2507606; 8.152,83 ; 10.194,38 ; 3.733.390,16 ;52%
PB;JUAZEIRINHO;2507705; 8.601,21 ; 10.194,38 ; 6.592.202,91 ;58%
PB;JUNCO DO SERIDO;2507804; 8.487,77 ; 10.194,38 ; 2.572.041,74 ;56%
PB;JURIPIRANGA;2507903; 8.476,82 ; 10.194,38 ; 4.963.569,14 ;51%
PB;JURU;2508000; 8.376,99 ; 10.194,38 ; 4.012.532,43 ;55%
PB;LAGOA;2508109; 13.822,44 ; 13.822,44 ; -   ;0%
PB;LAGOA DE DENTRO;2508208; 8.322,11 ; 10.194,38 ; 4.538.739,90 ;51%
PB;LAGOA SECA;2508307; 7.268,27 ; 10.194,38 ; 18.625.730,74 ;53%
PB;LASTRO;2508406; 9.152,40 ; 10.194,38 ; 1.004.745,70 ;58%
PB;LIVRAMENTO;2508505; 8.373,16 ; 10.194,38 ; 3.154.271,30 ;54%
PB;LOGRADOURO;2508554; 7.906,53 ; 10.194,38 ; 3.224.855,64 ;53%
PB;LUCENA;2508604; 7.972,99 ; 10.194,38 ; 7.687.463,09 ;53%
PB;MAE DAGUA;2508703; 9.851,77 ; 10.194,38 ; 271.742,63 ;54%
PB;MALTA;2508802; 7.879,57 ; 10.194,38 ; 3.673.317,95 ;54%
PB;MAMANGUAPE;2508901; 8.131,10 ; 10.194,38 ; 16.031.704,92 ;60%
PB;MANAIRA;2509008; 8.042,21 ; 10.194,38 ; 5.085.258,04 ;49%
PB;MARCACAO;2509057; 7.979,41 ; 10.194,38 ; 6.306.695,94 ;54%
PB;MARI;2509107; 8.710,31 ; 10.194,38 ; 7.925.271,04 ;52%
PB;MARIZOPOLIS;2509156; 7.132,76 ; 10.194,38 ; 7.218.253,66 ;33%
PB;MASSARANDUBA;2509206; 7.489,76 ; 10.194,38 ; 8.248.614,66 ;59%
PB;MATARACA;2509305; 7.830,05 ; 10.194,38 ; 7.236.119,71 ;51%
PB;MATINHAS;2509339; 8.138,80 ; 10.194,38 ; 2.638.239,06 ;50%
PB;MATO GROSSO;2509370; 8.954,99 ; 10.194,38 ; 1.555.195,98 ;32%
PB;MATUREIA;2509396; 7.995,69 ; 10.194,38 ; 3.946.340,45 ;51%
PB;MOGEIRO;2509404; 7.495,50 ; 10.194,38 ; 10.680.860,83 ;53%
PB;MONTADAS;2509503; 7.322,07 ; 10.194,38 ; 4.927.223,26 ;50%
PB;MONTE HOREBE;2509602; 9.823,04 ; 10.194,38 ; 630.282,13 ;53%
PB;MONTEIRO;2509701; 7.811,60 ; 10.194,38 ; 16.687.769,47 ;51%
PB;MULUNGU;2509800; 6.794,66 ; 10.194,38 ; 8.241.810,26 ;58%
PB;NATUBA;2509909; 7.732,88 ; 10.194,38 ; 7.353.666,51 ;48%
PB;NAZAREZINHO;2510006; 9.567,89 ; 10.194,38 ; 909.013,96 ;60%
PB;NOVA FLORESTA;2510105; 7.803,29 ; 10.194,38 ; 4.908.454,47 ;52%
PB;NOVA OLINDA;2510204; 8.449,31 ; 10.194,38 ; 2.864.496,26 ;46%
PB;NOVA PALMEIRA;2510303; 17.737,18 ; 17.737,18 ; -   ;0%
PB;OLHO DAGUA;2510402; 8.196,99 ; 10.194,38 ; 2.715.217,90 ;55%
PB;OLIVEDOS;2510501; 8.608,23 ; 10.194,38 ; 1.639.586,77 ;55%
PB;OURO VELHO;2510600; 10.548,67 ; 10.548,67 ; -   ;0%
PB;Paraíba;25; 11.618,11 ; 11.618,11 ; -   ;0%
PB;PARARI;2510659; 11.263,98 ; 11.263,98 ; -   ;0%
PB;PASSAGEM;2510709; 7.911,63 ; 10.194,38 ; 1.782.253,82 ;56%
PB;PATOS;2510808; 7.872,50 ; 10.194,38 ; 37.469.242,19 ;53%
PB;PAULISTA;2510907; 8.851,67 ; 10.194,38 ; 4.886.364,28 ;50%
PB;PEDRA BRANCA;2511004; 7.906,59 ; 10.194,38 ; 2.537.674,75 ;45%
PB;PEDRA LAVRADA;2511103; 8.594,03 ; 10.194,38 ; 3.446.978,37 ;41%
PB;PEDRAS DE FOGO;2511202; 8.575,21 ; 10.194,38 ; 13.370.658,54 ;56%
PB;PEDRO REGIS;2512721; 8.084,99 ; 10.194,38 ; 3.220.511,59 ;52%
PB;PIANCO;2511301; 7.083,85 ; 10.194,38 ; 6.516.716,88 ;55%
PB;PICUI;2511400; 8.226,77 ; 10.194,38 ; 8.885.873,56 ;48%
PB;PILAR;2511509; 6.845,26 ; 10.194,38 ; 10.771.040,77 ;49%
PB;PILOES;2511608; 7.523,38 ; 10.194,38 ; 5.623.529,33 ;55%
PB;PILOEZINHOS;2511707; 8.648,26 ; 10.194,38 ; 2.176.765,12 ;57%
PB;PIRPIRITUBA;2511806; 8.081,05 ; 10.194,38 ; 3.811.032,32 ;56%
PB;PITIMBU;2511905; 9.323,09 ; 10.194,38 ; 3.932.894,70 ;51%
PB;POCINHOS;2512002; 7.612,54 ; 10.194,38 ; 14.670.086,11 ;54%
PB;POCO DANTAS;2512036; 9.077,09 ; 10.194,38 ; 2.095.151,02 ;38%
PB;POCO DE JOSE DE MOURA;2512077; 6.763,93 ; 10.194,38 ; 9.259.268,41 ;33%
PB;POMBAL;2512101; 7.433,00 ; 10.194,38 ; 20.211.225,67 ;51%
PB;PRATA;2512200; 9.474,43 ; 10.194,38 ; 630.312,17 ;48%
PB;PRINCESA ISABEL;2512309; 8.160,95 ; 10.194,38 ; 7.265.135,52 ;54%
PB;PUXINANA;2512408; 6.625,01 ; 10.194,38 ; 19.146.316,91 ;47%
PB;QUEIMADAS;2512507; 7.277,89 ; 10.194,38 ; 38.023.445,42 ;51%
PB;QUIXABA;2512606; 11.372,14 ; 11.372,14 ; -   ;0%
PB;REMIGIO;2512705; 7.689,65 ; 10.194,38 ; 10.500.293,42 ;52%
PB;RIACHAO;2512747; 9.996,10 ; 10.194,38 ; 168.848,88 ;46%
PB;RIACHAO DO BACAMARTE;2512754; 8.455,16 ; 10.194,38 ; 3.300.837,33 ;45%
PB;RIACHAO DO POCO;2512762; 7.923,46 ; 10.194,38 ; 3.501.786,61 ;50%
PB;RIACHO DE SANTO ANTONIO;2512788; 9.415,73 ; 10.194,38 ; 555.243,34 ;45%
PB;RIACHO DOS CAVALOS;2512804; 7.995,74 ; 10.194,38 ; 6.154.708,37 ;53%
PB;RIO TINTO;2512903; 7.239,44 ; 10.194,38 ; 15.557.914,17 ;51%
PB;SALGADINHO;2513000; 10.183,22 ; 10.194,38 ; 9.039,37 ;53%
PB;SALGADO DE SAO FELIX;2513109; 8.358,57 ; 10.194,38 ; 5.148.763,01 ;42%
PB;SANTA CECILIA;2513158; 8.067,56 ; 10.194,38 ; 4.008.843,16 ;47%
PB;SANTA CRUZ;2513208; 9.569,67 ; 10.194,38 ; 614.287,54 ;58%
PB;SANTA HELENA;2513307; 11.202,77 ; 11.202,77 ; -   ;0%
PB;SANTA INES;2513356; 10.629,22 ; 10.629,22 ; -   ;0%
PB;SANTA LUZIA;2513406; 8.515,09 ; 10.194,38 ; 4.323.275,78 ;52%
PB;SANTA RITA;2513703; 9.416,50 ; 10.194,38 ; 13.748.926,02 ;59%
PB;SANTA TERESINHA;2513802; 10.461,40 ; 10.461,40 ; -   ;0%
PB;SANTANA DE MANGUEIRA;2513505; 7.264,99 ; 10.194,38 ; 3.782.251,69 ;51%
PB;SANTANA DOS GARROTES;2513604; 9.624,72 ; 10.194,38 ; 881.312,39 ;54%
PB;SANTO ANDRE;2513851; 9.918,55 ; 10.194,38 ; 175.856,22 ;47%
PB;SAO BENTINHO;2513927; 8.905,81 ; 10.194,38 ; 1.447.144,36 ;43%
PB;SAO BENTO;2513901; 8.071,01 ; 10.194,38 ; 24.735.186,19 ;50%
PB;SAO DOMINGOS;2513968; 10.521,10 ; 10.521,10 ; -   ;0%
PB;SAO DOMINGOS DO CARIRI;2513943; 8.443,85 ; 10.194,38 ; 1.366.610,93 ;49%
PB;SAO FRANCISCO;2513984; 7.546,58 ; 10.194,38 ; 3.201.917,24 ;48%
PB;SAO JOAO DO CARIRI;2514008; 7.637,62 ; 10.194,38 ; 3.506.564,53 ;50%
PB;SAO JOAO DO RIO DO PEIXE;2500700; 9.798,19 ; 10.194,38 ; 2.251.821,91 ;41%
PB;SAO JOAO DO TIGRE;2514107; 8.872,77 ; 10.194,38 ; 1.486.575,17 ;56%
PB;SAO JOSE DA LAGOA TAPADA;2514206; 7.978,63 ; 10.194,38 ; 4.730.735,71 ;59%
PB;SAO JOSE DE CAIANA;2514305; 9.025,78 ; 10.194,38 ; 1.762.652,81 ;49%
PB;SAO JOSE DE ESPINHARAS;2514404; 9.905,10 ; 10.194,38 ; 218.181,03 ;50%
PB;SAO JOSE DE PIRANHAS;2514503; 9.046,67 ; 10.194,38 ; 5.388.032,31 ;55%
PB;SAO JOSE DE PRINCESA;2514552; 8.284,92 ; 10.194,38 ; 1.361.041,86 ;41%
PB;SAO JOSE DO BONFIM;2514602; 9.287,48 ; 10.194,38 ; 761.687,88 ;50%
PB;SAO JOSE DO BREJO DO CRUZ;2514651; 9.995,88 ; 10.194,38 ; 163.021,40 ;34%
PB;SAO JOSE DO SABUGI;2514701; 9.355,56 ; 10.194,38 ; 895.334,44 ;40%
PB;SAO JOSE DOS CORDEIROS;2514800; 9.650,77 ; 10.194,38 ; 382.819,87 ;53%
PB;SAO JOSE DOS RAMOS;2514453; 8.274,80 ; 10.194,38 ; 4.011.477,14 ;46%
PB;SAO MAMEDE;2514909; 8.308,59 ; 10.194,38 ; 3.035.329,67 ;47%
PB;SAO MIGUEL DE TAIPU;2515005; 8.411,66 ; 10.194,38 ; 3.721.249,80 ;48%
PB;SAO SEBASTIAO DE LAGOA DE ROCA;2515104; 8.436,56 ; 10.194,38 ; 3.669.726,81 ;58%
PB;SAO SEBASTIAO DO UMBUZEIRO;2515203; 8.798,07 ; 10.194,38 ; 1.316.382,13 ;49%
PB;SAO VICENTE DO SERIDO;2515401; 7.322,51 ; 10.194,38 ; 7.905.561,06 ;58%
PB;SAPE;2515302; 8.150,84 ; 10.194,38 ; 18.748.672,42 ;54%
PB;SERRA BRANCA;2515500; 9.315,61 ; 10.194,38 ; 1.543.167,94 ;55%
PB;SERRA DA RAIZ;2515609; 8.244,66 ; 10.194,38 ; 2.152.148,79 ;41%
PB;SERRA GRANDE;2515708; 10.110,88 ; 10.194,38 ; 65.752,55 ;44%
PB;SERRA REDONDA;2515807; 7.130,82 ; 10.194,38 ; 4.455.530,75 ;59%
PB;SERRARIA;2515906; 8.430,80 ; 10.194,38 ; 1.934.522,22 ;53%
PB;SERTAOZINHO;2515930; 8.503,40 ; 10.194,38 ; 2.745.286,00 ;38%
PB;SOBRADO;2515971; 7.491,74 ; 10.194,38 ; 6.853.560,42 ;52%
PB;SOLANEA;2516003; 9.030,14 ; 10.194,38 ; 5.065.143,99 ;56%
PB;SOLEDADE;2516102; 8.036,84 ; 10.194,38 ; 7.471.030,74 ;50%
PB;SOSSEGO;2516151; 8.385,17 ; 10.194,38 ; 2.026.622,66 ;51%
PB;SOUSA;2516201; 8.712,98 ; 10.194,38 ; 11.280.275,63 ;59%
PB;SUME;2516300; 8.221,29 ; 10.194,38 ; 6.398.474,88 ;53%
PB;TACIMA;2516409; 8.997,01 ; 10.194,38 ; 2.226.515,11 ;43%
PB;TAPEROA;2516508; 7.261,38 ; 10.194,38 ; 9.304.923,35 ;54%
PB;TAVARES;2516607; 8.529,20 ; 10.194,38 ; 4.786.779,55 ;52%
PB;TEIXEIRA;2516706; 7.129,14 ; 10.194,38 ; 12.415.003,54 ;52%
PB;TENORIO;2516755; 9.920,41 ; 10.194,38 ; 222.245,87 ;50%
PB;TRIUNFO;2516805; 6.217,64 ; 10.194,38 ; 16.244.825,77 ;32%
PB;UIRAUNA;2516904; 9.408,12 ; 10.194,38 ; 2.911.372,62 ;49%
PB;UMBUZEIRO;2517001; 7.456,56 ; 10.194,38 ; 10.784.139,81 ;45%
PB;VARZEA;2517100; 10.334,83 ; 10.334,83 ; -   ;0%
PB;VIEIROPOLIS;2517209; 5.814,71 ; 10.194,38 ; 6.287.110,88 ;38%
PB;VISTA SERRANA;2505501; 9.660,03 ; 10.194,38 ; 514.810,15 ;58%
PB;ZABELE;2517407; 9.272,21 ; 10.194,38 ; 675.807,41 ;45%
PE;ABREU E LIMA;2600054; 9.360,56 ; 10.194,38 ; 7.178.334,34 ;61%
PE;AFOGADOS DA INGAZEIRA;2600104; 8.525,81 ; 10.194,38 ; 14.115.050,37 ;55%
PE;AFRANIO;2600203; 8.176,07 ; 10.194,38 ; 7.607.225,90 ;58%
PE;AGRESTINA;2600302; 8.823,36 ; 10.194,38 ; 6.366.345,20 ;53%
PE;AGUA PRETA;2600401; 8.659,46 ; 10.194,38 ; 7.549.370,69 ;57%
PE;AGUAS BELAS;2600500; 8.285,74 ; 10.194,38 ; 16.580.675,70 ;62%
PE;ALAGOINHA;2600609; 8.170,78 ; 10.194,38 ; 6.556.758,57 ;54%
PE;ALIANCA;2600708; 8.268,26 ; 10.194,38 ; 13.046.575,10 ;53%
PE;ALTINHO;2600807; 8.510,42 ; 10.194,38 ; 5.141.687,18 ;54%
PE;AMARAJI;2600906; 8.355,00 ; 10.194,38 ; 6.748.665,69 ;55%
PE;ANGELIM;2601003; 8.827,62 ; 10.194,38 ; 3.194.415,66 ;60%
PE;ARACOIABA;2601052; 8.764,47 ; 10.194,38 ; 6.310.533,08 ;55%
PE;ARARIPINA;2601102; 7.890,53 ; 10.194,38 ; 38.884.711,12 ;56%
PE;ARCOVERDE;2601201; 9.232,28 ; 10.194,38 ; 9.054.832,12 ;58%
PE;BARRA DE GUABIRABA;2601300; 8.470,99 ; 10.194,38 ; 4.422.663,81 ;55%
PE;BARREIROS;2601409; 7.590,38 ; 10.194,38 ; 24.410.824,79 ;59%
PE;BELEM DE MARIA;2601508; 8.288,35 ; 10.194,38 ; 5.220.054,65 ;55%
PE;BELEM DO SAO FRANCISCO;2601607; 8.147,00 ; 10.194,38 ; 7.330.796,55 ;53%
PE;BELO JARDIM;2601706; 7.935,89 ; 10.194,38 ; 33.201.717,87 ;54%
PE;BETANIA;2601805; 7.530,26 ; 10.194,38 ; 9.372.844,38 ;49%
PE;BEZERROS;2601904; 8.293,86 ; 10.194,38 ; 16.610.153,16 ;55%
PE;BODOCO;2602001; 8.832,98 ; 10.194,38 ; 9.332.788,23 ;58%
PE;BOM CONSELHO;2602100; 8.469,18 ; 10.194,38 ; 14.702.945,63 ;60%
PE;BOM JARDIM;2602209; 7.999,89 ; 10.194,38 ; 16.076.285,91 ;51%
PE;BONITO;2602308; 8.711,56 ; 10.194,38 ; 10.813.595,34 ;57%
PE;BREJAO;2602407; 7.603,37 ; 10.194,38 ; 7.836.065,80 ;52%
PE;BREJINHO;2602506; 9.557,40 ; 10.194,38 ; 1.169.602,47 ;64%
