ANEXO IV;;;;;;
Portaria Interministerial MEC/MF nº 14, de 29 de dezembro de 2025;;;;;;
Demonstrativo da Distribuição da Complementação da União-VAAT ao Fundeb no Ano de 2026 (art. 16, incisos V a VII da Lei nº 14.113/2020);;;;;;
UF;Ente Federado;Código IBGE; VAAT anterior à Complementação-VAAT (art. 16, IV) (R$) ;" VAAT com a Complementação da União-VAAT
(art. 16, V) (R$) ";" Complementação da União-VAAT
(art. 16, VI) (R$) ";Indicador de Educação Infantil (IEI) - Percentual da Complementação da União-VAAT vinculado à Educação Infantil (art. 16, VII) (%)
AL;SAO SEBASTIAO;2708808; 8.223,92 ; 10.194,38 ; 19.102.924,59 ;57%
AL;SATUBA;2708907; 6.651,72 ; 10.194,38 ; 20.879.261,48 ;56%
AL;SENADOR RUI PALMEIRA;2708956; 8.106,61 ; 10.194,38 ; 9.543.298,00 ;52%
AL;TANQUE DARCA;2709004; 9.374,34 ; 10.194,38 ; 1.801.747,72 ;38%
AL;TAQUARANA;2709103; 7.923,29 ; 10.194,38 ; 18.559.945,36 ;45%
AL;TEOTONIO VILELA;2709152; 7.460,67 ; 10.194,38 ; 48.872.083,16 ;39%
AL;TRAIPU;2709202; 6.582,81 ; 10.194,38 ; 41.786.370,76 ;38%
AL;UNIAO DOS PALMARES;2709301; 7.027,39 ; 10.194,38 ; 60.826.700,93 ;52%
AL;VICOSA;2709400; 8.604,86 ; 10.194,38 ; 9.377.942,44 ;53%
AM;ALVARAES;1300029; 7.438,34 ; 10.194,38 ; 19.143.725,42 ;46%
AM;AMATURA;1300060; 6.486,85 ; 10.194,38 ; 18.518.841,86 ;54%
AM;Amazonas;13; 11.223,72 ; 11.223,72 ; -   ;0%
AM;ANAMA;1300086; 9.111,81 ; 10.194,38 ; 2.827.003,00 ;60%
AM;ANORI;1300102; 8.626,32 ; 10.194,38 ; 5.218.577,23 ;58%
AM;APUI;1300144; 8.392,71 ; 10.194,38 ; 5.632.018,06 ;54%
AM;ATALAIA DO NORTE;1300201; 6.742,41 ; 10.194,38 ; 25.002.511,64 ;53%
AM;AUTAZES;1300300; 7.338,75 ; 10.194,38 ; 32.504.402,77 ;59%
AM;BARCELOS;1300409; 7.024,72 ; 10.194,38 ; 15.616.172,85 ;60%
AM;BARREIRINHA;1300508; 7.449,80 ; 10.194,38 ; 36.468.132,25 ;55%
AM;BENJAMIN CONSTANT;1300607; 6.335,46 ; 10.194,38 ; 75.743.650,19 ;55%
AM;BERURI;1300631; 7.360,47 ; 10.194,38 ; 22.408.059,25 ;61%
AM;BOA VISTA DO RAMOS;1300680; 8.543,56 ; 10.194,38 ; 8.485.590,45 ;47%
AM;BOCA DO ACRE;1300706; 7.705,97 ; 10.194,38 ; 18.376.429,65 ;62%
AM;BORBA;1300805; 6.865,19 ; 10.194,38 ; 35.173.062,85 ;53%
